,test_number,folder,scene,dist_met,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,Sum
0,1,sideboard_av1_01,sideboard,av1,1.0,1.5,1.1,1.5,2.0,1.5,2.0,1.4,1.0,1.6,1.0,2.2,1.5,1.6,1.5,1.4,1.4875
1,1,sideboard_av1_05,sideboard,av1,1.5,5.0,2.0,5.0,4.0,5.0,4.6,4.7,3.7,2.3,4.0,3.1,2.2,2.4,3.4,4.0,3.55625
2,1,sideboard_av1_15,sideboard,av1,4.0,5.0,4.9,5.0,5.0,4.3,5.0,4.6,4.7,4.0,4.0,4.8,4.2,4.5,4.3,5.0,4.58125
3,1,sideboard_av1_25,sideboard,av1,4.0,4.5,4.9,5.0,5.0,5.0,5.0,4.0,4.2,4.1,4.0,5.0,4.9,4.1,4.8,5.0,4.59375
4,1,sideboard_av1_75,sideboard,av1,4.0,5.0,4.9,5.0,5.0,5.0,5.0,4.5,5.0,4.8,5.0,5.0,3.1,4.4,5.0,4.3,4.6875
5,1,sideboard_bar_001,sideboard,bar,4.0,3.6,5.0,5.0,5.0,5.0,5.0,3.9,4.8,4.5,4.0,3.0,4.3,3.0,4.7,5.0,4.3625
6,1,sideboard_bar_002,sideboard,bar,4.0,3.5,5.0,5.0,5.0,5.0,5.0,4.4,5.0,4.1,4.0,5.0,5.0,3.6,4.4,4.9,4.55625
7,1,sideboard_bar_003,sideboard,bar,2.5,3.0,4.8,5.0,5.0,4.8,5.0,4.0,3.5,3.7,3.0,5.0,3.3,4.5,4.9,3.9,4.11875
8,1,sideboard_bar_004,sideboard,bar,4.0,2.4,2.2,5.0,3.0,5.0,4.9,3.0,5.0,4.2,4.0,5.0,2.5,2.9,4.5,5.0,3.9125
9,1,sideboard_bar_005,sideboard,bar,1.0,3.0,2.2,5.0,3.0,4.0,3.1,1.5,1.3,2.4,3.1,1.8,1.0,3.1,1.9,3.8,2.575
10,1,sideboard_bpg_25,sideboard,bpg,1.0,2.1,1.1,2.1,1.5,2.2,2.4,2.1,1.0,1.0,1.0,1.9,1.1,1.6,1.7,1.4,1.575
11,1,sideboard_bpg_375,sideboard,bpg,1.5,1.6,1.2,3.0,2.0,2.1,2.0,2.5,1.0,1.4,1.0,2.1,1.1,2.4,1.8,2.5,1.825
12,1,sideboard_bpg_5,sideboard,bpg,2.0,1.6,2.0,2.8,3.0,1.9,3.8,2.0,1.5,2.0,2.1,2.2,2.5,2.0,1.9,2.1,2.2125
13,1,sideboard_bpg_625,sideboard,bpg,1.5,3.1,3.0,3.1,3.0,3.5,3.7,3.7,1.7,4.3,2.1,3.2,2.2,2.1,2.1,2.5,2.8000000000000003
14,1,sideboard_bpg_75,sideboard,bpg,2.0,3.0,2.8,5.0,3.5,2.9,4.0,3.2,2.5,4.2,3.0,3.5,3.2,2.9,2.7,3.5,3.2437500000000004
15,1,sideboard_gau_001,sideboard,gau,4.9,5.0,5.0,5.0,5.0,3.9,5.0,4.0,5.0,4.2,5.0,4.6,3.2,4.4,4.8,5.0,4.625
16,1,sideboard_gau_002,sideboard,gau,3.1,3.1,3.0,3.7,4.0,3.4,3.6,4.6,4.4,4.6,5.0,4.0,2.6,3.3,3.6,3.8,3.7375
17,1,sideboard_gau_003,sideboard,gau,3.0,2.0,2.0,4.1,3.5,3.5,3.5,2.2,3.3,4.5,3.0,4.0,2.9,3.3,2.0,3.5,3.14375
18,1,sideboard_gau_004,sideboard,gau,2.0,2.0,2.1,3.1,3.5,2.5,2.7,4.0,2.2,3.2,2.1,3.6,2.4,2.8,3.1,3.9,2.8249999999999997
19,1,sideboard_gau_005,sideboard,gau,1.9,1.0,1.4,1.4,3.0,1.5,2.0,1.4,1.0,1.9,1.0,2.5,2.9,1.5,2.1,3.6,1.88125
20,1,sideboard_jp2_25,sideboard,jp2,1.0,1.5,1.1,1.9,2.0,1.6,1.2,1.3,1.0,1.7,1.0,1.0,1.0,1.4,1.3,1.0,1.3124999999999998
21,1,sideboard_jp2_375,sideboard,jp2,1.0,1.5,1.3,1.7,2.0,2.0,3.2,2.7,1.0,2.4,1.0,2.1,1.0,2.0,1.9,2.0,1.7999999999999998
22,1,sideboard_jp2_5,sideboard,jp2,1.1,1.5,1.3,2.0,2.0,2.4,2.4,2.6,1.0,1.2,1.0,2.2,1.0,2.3,2.2,2.0,1.7625
23,1,sideboard_jp2_625,sideboard,jp2,1.1,2.5,1.5,2.1,3.0,2.3,3.1,4.0,2.0,2.2,1.0,3.1,2.2,2.7,2.9,1.8,2.34375
24,1,sideboard_jp2_75,sideboard,jp2,2.0,3.0,2.7,5.0,3.0,2.7,4.5,4.7,1.0,1.7,1.0,2.4,1.0,2.1,3.2,2.5,2.65625
25,1,sideboard_jpg_25,sideboard,jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,1.0375
26,1,sideboard_jpg_375,sideboard,jpg,1.0,1.0,1.0,1.0,1.2,1.4,1.0,1.6,1.0,1.0,1.0,1.0,1.0,1.8,1.1,1.8,1.1812500000000001
27,1,sideboard_jpg_5,sideboard,jpg,1.0,1.5,1.2,1.6,2.3,2.1,2.8,1.6,1.0,2.1,1.0,1.0,1.3,1.8,1.4,1.9,1.5999999999999999
28,1,sideboard_jpg_625,sideboard,jpg,2.0,1.6,1.3,3.1,2.7,1.6,3.5,3.0,1.0,1.4,2.1,1.9,1.3,2.1,1.6,2.0,2.0125
29,1,sideboard_jpg_75,sideboard,jpg,1.5,2.0,2.6,3.3,2.3,3.8,3.4,3.6,2.0,1.2,2.1,1.4,1.0,2.6,1.9,3.2,2.36875
